"filename", "language", "XML", "Markdown", "JSON", "Rainmeter", "C# (Unity)", "C#", "ShaderLab", "comment", "blank", "total"
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\contentModel.xml", "XML", 42, 0, 0, 0, 0, 0, 0, 0, 0, 42
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\encodings.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\indexLayout.xml", "XML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\projectSettingsUpdater.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\workspace.xml", "XML", 91, 0, 0, 0, 0, 0, 0, 0, 0, 91
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\riderModule.iml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\encodings.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\indexLayout.xml", "XML", 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\misc.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\riderModule.iml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\codeStyles\codeStyleConfig.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\encodings.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\indexLayout.xml", "XML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\misc.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
