Date : 2020-08-25 23:27:06
Directory : f:\SimpleRTS\SimpleRTS\Simplified_RTS
Total : 391 files,  234710 codes, 22577 comments, 16671 blanks, all 273958 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C# (Unity) |         19 |    156,416 |          0 |         45 |    156,461 |
| C#         |        338 |     71,241 |     22,409 |     16,211 |    109,861 |
| XML        |         20 |      5,592 |          0 |        144 |      5,736 |
| ShaderLab  |          7 |        833 |        168 |        266 |      1,267 |
| JSON       |          5 |        624 |          0 |          2 |        626 |
| Rainmeter  |          1 |          3 |          0 |          1 |          4 |
| Markdown   |          1 |          1 |          0 |          2 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                   |        391 |    234,710 |     22,577 |     16,671 |    273,958 |
| .idea                                                                                                                                                               |         17 |        300 |          0 |          0 |        300 |
| .idea\.idea.SLG                                                                                                                                                     |          7 |        190 |          0 |          0 |        190 |
| .idea\.idea.SLG\.idea                                                                                                                                               |          6 |        183 |          0 |          0 |        183 |
| .idea\.idea.SimplifiedRTS                                                                                                                                           |          4 |         48 |          0 |          0 |         48 |
| .idea\.idea.SimplifiedRTS\.idea                                                                                                                                     |          3 |         41 |          0 |          0 |         41 |
| .idea\.idea.Simplified_RTS                                                                                                                                          |          6 |         62 |          0 |          0 |         62 |
| .idea\.idea.Simplified_RTS\.idea                                                                                                                                    |          5 |         55 |          0 |          0 |         55 |
| .idea\.idea.Simplified_RTS\.idea\codeStyles                                                                                                                         |          1 |          5 |          0 |          0 |          5 |
| Assets                                                                                                                                                              |        368 |    233,829 |     22,577 |     16,666 |    273,072 |
| Assets\Photon                                                                                                                                                       |        230 |    163,587 |     11,959 |      7,001 |    182,547 |
| Assets\Photon\PhotonChat                                                                                                                                            |         25 |      8,775 |        953 |        514 |     10,242 |
| Assets\Photon\PhotonChat\Code                                                                                                                                       |         13 |      1,792 |        797 |        320 |      2,909 |
| Assets\Photon\PhotonChat\Demos                                                                                                                                      |         12 |      6,983 |        156 |        194 |      7,333 |
| Assets\Photon\PhotonChat\Demos\Common                                                                                                                               |          4 |        108 |         70 |         36 |        214 |
| Assets\Photon\PhotonChat\Demos\DemoChat                                                                                                                             |          8 |      6,875 |         86 |        158 |      7,119 |
| Assets\Photon\PhotonLibs                                                                                                                                            |          5 |      5,670 |         35 |        224 |      5,929 |
| Assets\Photon\PhotonLibs\WebSocket                                                                                                                                  |          2 |        345 |         35 |         80 |        460 |
| Assets\Photon\PhotonLibs\netstandard2.0                                                                                                                             |          2 |      2,686 |          0 |         72 |      2,758 |
| Assets\Photon\PhotonRealtime                                                                                                                                        |         17 |      4,687 |      5,130 |      1,137 |     10,954 |
| Assets\Photon\PhotonRealtime\Code                                                                                                                                   |         15 |      3,866 |      5,127 |      1,108 |     10,101 |
| Assets\Photon\PhotonRealtime\Demos                                                                                                                                  |          2 |        821 |          3 |         29 |        853 |
| Assets\Photon\PhotonRealtime\Demos\DemoLoadBalancing                                                                                                                |          2 |        821 |          3 |         29 |        853 |
| Assets\Photon\PhotonUnityNetworking                                                                                                                                 |        183 |    144,455 |      5,841 |      5,126 |    155,422 |
| Assets\Photon\PhotonUnityNetworking\Code                                                                                                                            |         31 |      9,187 |      3,100 |      2,280 |     14,567 |
