"filename", "language", "C#", "XML", "JSON", "C# (Unity)", "ShaderLab", "comment", "blank", "total"
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChannelCreationOptions.cs", "C#", 12, 0, 0, 0, 0, 8, 3, 23
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChannelWellKnownProperties.cs", "C#", 8, 0, 0, 0, 0, 5, 2, 15
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatAppSettings.cs", "C#", 21, 0, 0, 0, 0, 20, 10, 51
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatChannel.cs", "C#", 131, 0, 0, 0, 0, 34, 28, 193
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatClient.cs", "C#", 1263, 0, 0, 0, 0, 338, 165, 1766
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatDisconnectCause.cs", "C#", 20, 0, 0, 0, 0, 21, 2, 43
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatEventCode.cs", "C#", 17, 0, 0, 0, 0, 20, 3, 40
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatOperationCode.cs", "C#", 16, 0, 0, 0, 0, 18, 4, 38
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatParameterCode.cs", "C#", 31, 0, 0, 0, 0, 47, 7, 85
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatPeer.cs", "C#", 215, 0, 0, 0, 0, 148, 71, 434
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatState.cs", "C#", 18, 0, 0, 0, 0, 18, 1, 37
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatUserStatus.cs", "C#", 13, 0, 0, 0, 0, 21, 2, 36
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\IChatClientListener.cs", "C#", 27, 0, 0, 0, 0, 99, 22, 148
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\EventSystemSpawner.cs", "C#", 18, 0, 0, 0, 0, 13, 3, 34
