"filename", "language", "Django txt", "XML", "Markdown", "JSON", "Ini", "C#", "ShaderLab", "HLSL", "Django HTML", "comment", "blank", "total"
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\contentModel.xml", "XML", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\encodings.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\indexLayout.xml", "XML", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\projectSettingsUpdater.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\workspace.xml", "XML", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\riderModule.iml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\encodings.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\indexLayout.xml", "XML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\misc.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\riderModule.iml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\code-comments.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\encodings.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\indexLayout.xml", "XML", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\misc.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\riderModule.iml", "XML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\riderModule.iml", "XML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Data\UserData.xml", "XML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Editor\ShaderEditor\SpriteShaderEditor.cs", "C#", 0, 0, 0, 0, 0, 123, 0, 0, 0, 17, 27, 167
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Others\TutorialInfo\Scripts\Editor\ReadmeEditor.cs", "C#", 0, 0, 0, 0, 0, 126, 0, 0, 0, 1, 32, 159
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Others\TutorialInfo\Scripts\Readme.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChannelCreationOptions.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 8, 3, 23
