Date : 2021-05-20 12:11:05
Directory : g:\SimpleRTS\SimpleRTS\Simplified_RTS
Total : 670 files,  137011 codes, 39399 comments, 29389 blanks, all 205799 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |        600 |    108,780 |     38,951 |     26,489 |    174,220 |
| Django HTML |          1 |     15,380 |          0 |      1,665 |     17,045 |
| XML         |         26 |      5,907 |          0 |        144 |      6,051 |
| Django txt  |         17 |      2,263 |          0 |        352 |      2,615 |
| ShaderLab   |         15 |      2,183 |        429 |        621 |      3,233 |
| Markdown    |          3 |      1,811 |          0 |        107 |      1,918 |
| JSON        |          6 |        633 |          0 |          2 |        635 |
| HLSL        |          1 |         51 |         19 |          8 |         78 |
| Ini         |          1 |          3 |          0 |          1 |          4 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                   |        670 |    137,011 |     39,399 |     29,389 |    205,799 |
| .idea                                                                                                                                                               |         19 |        340 |          0 |          0 |        340 |
| .idea\.idea.SLG                                                                                                                                                     |          7 |        190 |          0 |          0 |        190 |
| .idea\.idea.SLG\.idea                                                                                                                                               |          6 |        183 |          0 |          0 |        183 |
| .idea\.idea.SimplifiedRTS                                                                                                                                           |          4 |         48 |          0 |          0 |         48 |
| .idea\.idea.SimplifiedRTS\.idea                                                                                                                                     |          3 |         41 |          0 |          0 |         41 |
| .idea\.idea.Simplified_RTS                                                                                                                                          |          8 |        102 |          0 |          0 |        102 |
| .idea\.idea.Simplified_RTS\.idea                                                                                                                                    |          7 |         90 |          0 |          0 |         90 |
| .idea\.idea.Simplified_RTS\.idea\codeStyles                                                                                                                         |          1 |          5 |          0 |          0 |          5 |
| Assets                                                                                                                                                              |        642 |    136,051 |     39,399 |     29,382 |    204,832 |
| Assets\Data                                                                                                                                                         |          1 |         31 |          0 |          0 |         31 |
| Assets\Editor                                                                                                                                                       |          1 |        123 |         17 |         27 |        167 |
| Assets\Editor\ShaderEditor                                                                                                                                          |          1 |        123 |         17 |         27 |        167 |
| Assets\Others                                                                                                                                                       |          2 |        138 |          1 |         35 |        174 |
| Assets\Others\TutorialInfo                                                                                                                                          |          2 |        138 |          1 |         35 |        174 |
| Assets\Others\TutorialInfo\Scripts                                                                                                                                  |          2 |        138 |          1 |         35 |        174 |
| Assets\Others\TutorialInfo\Scripts\Editor                                                                                                                           |          1 |        126 |          1 |         32 |        159 |
| Assets\Photon                                                                                                                                                       |        225 |     33,871 |     11,960 |      7,266 |     53,097 |
| Assets\Photon\PhotonChat                                                                                                                                            |         25 |      2,610 |        953 |        532 |      4,095 |
| Assets\Photon\PhotonChat\Code                                                                                                                                       |         14 |      1,870 |        797 |        342 |      3,009 |
| Assets\Photon\PhotonChat\Demos                                                                                                                                      |         11 |        740 |        156 |        190 |      1,086 |
| Assets\Photon\PhotonChat\Demos\Common                                                                                                                               |          4 |        108 |         70 |         36 |        214 |
| Assets\Photon\PhotonChat\Demos\DemoChat                                                                                                                             |          7 |        632 |         86 |        154 |        872 |
| Assets\Photon\PhotonLibs                                                                                                                                            |          6 |      7,125 |         35 |        404 |      7,564 |
| Assets\Photon\PhotonLibs\WebSocket                                                                                                                                  |          2 |        345 |         35 |         80 |        460 |
| Assets\Photon\PhotonLibs\netstandard2.0                                                                                                                             |          2 |      2,686 |          0 |         72 |      2,758 |
| Assets\Photon\PhotonRealtime                                                                                                                                        |         17 |      4,204 |      5,130 |      1,171 |     10,505 |
| Assets\Photon\PhotonRealtime\Code                                                                                                                                   |         16 |      4,094 |      5,127 |      1,143 |     10,364 |
| Assets\Photon\PhotonRealtime\Demos                                                                                                                                  |          1 |        110 |          3 |         28 |        141 |
| Assets\Photon\PhotonRealtime\Demos\DemoLoadBalancing                                                                                                                |          1 |        110 |          3 |         28 |        141 |
| Assets\Photon\PhotonUnityNetworking                                                                                                                                 |        177 |     19,932 |      5,842 |      5,159 |     30,933 |
| Assets\Photon\PhotonUnityNetworking\Code                                                                                                                            |         32 |      9,208 |      3,101 |      2,284 |     14,593 |
| Assets\Photon\PhotonUnityNetworking\Code\Editor                                                                                                                     |         17 |      3,010 |        409 |        766 |      4,185 |
| Assets\Photon\PhotonUnityNetworking\Code\Editor\ReordableList                                                                                                       |          2 |        156 |         71 |         36 |        263 |
| Assets\Photon\PhotonUnityNetworking\Code\Editor\Views                                                                                                               |          6 |        641 |         84 |        176 |        901 |
| Assets\Photon\PhotonUnityNetworking\Code\Utilities                                                                                                                  |          1 |        221 |         84 |         81 |        386 |
| Assets\Photon\PhotonUnityNetworking\Code\Views                                                                                                                      |          5 |      1,054 |        165 |        264 |      1,483 |
| Assets\Photon\PhotonUnityNetworking\Demos                                                                                                                           |        110 |      7,108 |      1,638 |      1,982 |     10,728 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids                                                                                                             |         10 |        924 |         67 |        261 |      1,252 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts                                                                                                     |         10 |        924 |         67 |        261 |      1,252 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game                                                                                                |          5 |        495 |         55 |        152 |        702 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby                                                                                               |          4 |        400 |         12 |        103 |        515 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoHub                                                                                                                   |          3 |        425 |         42 |         90 |        557 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Editor                                                                                                            |          1 |        109 |         18 |         26 |        153 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Scripts                                                                                                           |          2 |        316 |         24 |         64 |        404 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural                                                                                                            |          6 |        848 |        198 |        180 |      1,226 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts                                                                                                    |          6 |        848 |        198 |        180 |      1,226 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer                                                                                                             |         14 |        832 |        220 |        181 |      1,233 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Kenney Assets                                                                                               |          1 |          1 |          0 |          0 |          1 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts                                                                                                     |         13 |        831 |        220 |        181 |      1,232 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve                                                                                         |         10 |        632 |        116 |        118 |        866 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Editor                                                                                  |          3 |        214 |         30 |         30 |        274 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial                                                                                                        |          8 |        636 |        321 |        266 |      1,223 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts                                                                                                |          8 |        636 |        321 |        266 |      1,223 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit                                                                                                                |         63 |      3,037 |        666 |        925 |      4,628 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Forms                                                                                                          |          5 |        174 |         50 |         52 |        276 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts                                                                                                        |         57 |      2,303 |        578 |        664 |      3,545 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI                                                                                          |         16 |        609 |        163 |        155 |        927 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI\CurrentRoom                                                                              |          2 |         86 |         20 |         25 |        131 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI\Generic                                                                                  |          4 |        154 |         36 |         41 |        231 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Controllers                                                                                            |          1 |        157 |         14 |         62 |        233 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Lists                                                                                                  |          9 |        682 |        114 |        242 |      1,038 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\PropertyFields                                                                                         |          1 |         49 |         11 |         11 |         71 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\ReadOnlyProperties                                                                                     |         27 |        718 |        243 |        147 |      1,108 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\ThirdParty                                                                                             |          1 |         55 |         17 |         30 |        102 |
| Assets\Photon\PhotonUnityNetworking\Demos\Shared Assets                                                                                                             |          5 |        322 |        105 |         71 |        498 |
| Assets\Photon\PhotonUnityNetworking\Demos\Shared Assets\Scripts                                                                                                     |          3 |        289 |        105 |         65 |        459 |
| Assets\Photon\PhotonUnityNetworking\Demos\Shared Assets\Skin                                                                                                        |          2 |         33 |          0 |          6 |         39 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts                                                                                                                  |         32 |      3,226 |      1,103 |        835 |      5,164 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Culling                                                                                                          |          3 |        597 |        211 |        169 |        977 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Culling\Editor                                                                                                   |          1 |        183 |         25 |         57 |        265 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Debugging                                                                                                        |          4 |        409 |         77 |         85 |        571 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\PhotonPlayer                                                                                                     |          7 |      1,040 |        271 |        180 |      1,491 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\PhotonPlayer\Editor                                                                                              |          3 |        303 |         40 |         35 |        378 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\PhotonView                                                                                                       |          1 |         50 |         15 |          7 |         72 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Prototyping                                                                                                      |          8 |        565 |        223 |        184 |        972 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Room                                                                                                             |          1 |        101 |         33 |         42 |        176 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\TurnBased                                                                                                        |          1 |        206 |        146 |         78 |        430 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\UI                                                                                                               |          7 |        258 |        127 |         90 |        475 |
| Assets\Plugins                                                                                                                                                      |        321 |     95,205 |     25,742 |     20,484 |    141,431 |
| Assets\Plugins\AstarPathfindingProject                                                                                                                              |        216 |     51,747 |     15,322 |     11,487 |     78,556 |
| Assets\Plugins\AstarPathfindingProject\Behaviors                                                                                                                    |          2 |         52 |         31 |         17 |        100 |
| Assets\Plugins\AstarPathfindingProject\Core                                                                                                                         |         54 |     11,451 |      7,052 |      3,303 |     21,806 |
| Assets\Plugins\AstarPathfindingProject\Core\AI                                                                                                                      |          9 |      2,002 |      1,756 |        644 |      4,402 |
| Assets\Plugins\AstarPathfindingProject\Core\Misc                                                                                                                    |         26 |      3,626 |      1,243 |        942 |      5,811 |
| Assets\Plugins\AstarPathfindingProject\Core\Nodes                                                                                                                   |          1 |        330 |        385 |         97 |        812 |
| Assets\Plugins\AstarPathfindingProject\Core\RVO                                                                                                                     |          5 |      1,158 |        636 |        349 |      2,143 |
| Assets\Plugins\AstarPathfindingProject\Core\Serialization                                                                                                           |          5 |      1,008 |        190 |        250 |      1,448 |
| Assets\Plugins\AstarPathfindingProject\Documentation                                                                                                                |          2 |     15,386 |          0 |      1,667 |     17,053 |
| Assets\Plugins\AstarPathfindingProject\Editor                                                                                                                       |         30 |      3,500 |        239 |        863 |      4,602 |
| Assets\Plugins\AstarPathfindingProject\Editor\EditorAssets                                                                                                          |          3 |        210 |         24 |         51 |        285 |
| Assets\Plugins\AstarPathfindingProject\Editor\EditorAssets\Materials                                                                                                |          3 |        210 |         24 |         51 |        285 |
| Assets\Plugins\AstarPathfindingProject\Editor\GraphEditors                                                                                                          |          6 |      1,024 |         50 |        277 |      1,351 |
| Assets\Plugins\AstarPathfindingProject\Editor\Legacy                                                                                                                |          4 |         66 |          0 |          8 |         74 |
| Assets\Plugins\AstarPathfindingProject\Editor\ModifierEditors                                                                                                       |          2 |         65 |          0 |         13 |         78 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes                                                                                                                |         31 |      2,187 |        663 |        609 |      3,459 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\Example11_RVO                                                                                                  |          4 |        486 |         89 |        139 |        714 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\Example12_Procedural                                                                                           |          2 |        368 |        176 |        103 |        647 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\Example13_Moving                                                                                               |          3 |         99 |         38 |         25 |        162 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\Example14_TurnBased_Hexagon                                                                                    |          4 |        212 |         37 |         64 |        313 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\Example16_RVO 2D                                                                                               |          1 |         20 |          1 |          5 |         26 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\Example3_Recast_Navmesh1                                                                                       |          1 |         75 |         44 |         30 |        149 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\Example8_PathTypes                                                                                             |          2 |        359 |         41 |         86 |        486 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\ExampleScripts                                                                                                 |         11 |        510 |        237 |        141 |        888 |
| Assets\Plugins\AstarPathfindingProject\ExampleScenes\Materials                                                                                                      |          2 |         56 |          0 |         16 |         72 |
| Assets\Plugins\AstarPathfindingProject\Generators                                                                                                                   |         32 |     10,726 |      4,325 |      3,068 |     18,119 |
| Assets\Plugins\AstarPathfindingProject\Generators\NodeClasses                                                                                                       |          4 |      1,156 |        480 |        333 |      1,969 |
| Assets\Plugins\AstarPathfindingProject\Generators\Utilities                                                                                                         |         20 |      5,047 |      1,328 |      1,428 |      7,803 |
| Assets\Plugins\AstarPathfindingProject\Generators\Utilities\Voxels                                                                                                  |          8 |      2,362 |        549 |        734 |      3,645 |
| Assets\Plugins\AstarPathfindingProject\Legacy                                                                                                                       |          8 |        413 |        266 |        142 |        821 |
| Assets\Plugins\AstarPathfindingProject\Legacy\Editor                                                                                                                |          4 |          0 |         12 |          8 |         20 |
| Assets\Plugins\AstarPathfindingProject\Modifiers                                                                                                                    |          8 |      1,262 |        465 |        366 |      2,093 |
| Assets\Plugins\AstarPathfindingProject\Navmesh                                                                                                                      |          5 |        645 |        343 |        183 |      1,171 |
| Assets\Plugins\AstarPathfindingProject\PackageTools                                                                                                                 |          7 |        548 |         72 |        119 |        739 |
| Assets\Plugins\AstarPathfindingProject\PackageTools\Editor                                                                                                          |          4 |        506 |         59 |        105 |        670 |
| Assets\Plugins\AstarPathfindingProject\Pathfinders                                                                                                                  |          8 |      1,410 |        762 |        421 |      2,593 |
